sepal.length,sepal.width,petal.length,petal.width,variety,date
4.4,3.2,1.3,0.2,Setosa,11/21/24
5,3.5,1.6,0.6,Setosa,11/22/24
5.1,3.8,1.9,0.4,Setosa,11/23/24
4.8,3,1.4,0.3,Setosa,11/24/24
5.1,3.8,1.6,0.2,Setosa,11/25/24
4.6,3.2,1.4,0.2,Setosa,11/26/24
5.3,3.7,1.5,0.2,Setosa,11/27/24
5,3.3,1.4,0.2,Setosa,11/28/24
7,3.2,4.7,1.4,Versicolor,11/29/24
6.4,3.2,4.5,1.5,Versicolor,11/30/24
6.9,3.1,4.9,1.5,Versicolor,12/01/24
5.5,2.3,4,1.3,Versicolor,12/02/24
6.5,2.8,4.6,1.5,Versicolor,12/03/24
5.7,2.8,4.5,1.3,Versicolor,12/04/24
6.3,3.3,4.7,1.6,Versicolor,12/05/24
4.9,2.4,3.3,1,Versicolor,12/06/24
6.6,2.9,4.6,1.3,Versicolor,12/07/24
5.2,2.7,3.9,1.4,Versicolor,12/08/24
5,2,3.5,1,Versicolor,12/09/24
5.9,3,4.2,1.5,Versicolor,12/10/24
6,2.2,4,1,Versicolor,12/11/24
6.1,2.9,4.7,1.4,Versicolor,12/12/24
5.6,2.9,3.6,1.3,Versicolor,12/13/24
6.7,3.1,4.4,1.4,Versicolor,12/14/24
5.6,3,4.5,1.5,Versicolor,12/15/24
5.8,2.7,4.1,1,Versicolor,12/16/24
6.2,2.2,4.5,1.5,Versicolor,12/17/24
5.6,2.5,3.9,1.1,Versicolor,12/18/24
5.9,3.2,4.8,1.8,Versicolor,12/19/24
6.1,2.8,4,1.3,Versicolor,12/20/24
6.3,2.5,4.9,1.5,Versicolor,12/21/24
6.1,2.8,4.7,1.2,Versicolor,12/22/24
6.4,2.9,4.3,1.3,Versicolor,12/23/24
6.6,3,4.4,1.4,Versicolor,12/24/24
6.8,2.8,4.8,1.4,Versicolor,12/25/24
6.7,3,5,1.7,Versicolor,12/26/24
6,2.9,4.5,1.5,Versicolor,12/27/24
5.7,2.6,3.5,1,Versicolor,12/28/24
5.5,2.4,3.8,1.1,Versicolor,12/29/24
5.5,2.4,3.7,1,Versicolor,12/30/24
5.8,2.7,3.9,1.2,Versicolor,12/31/24
6,2.7,5.1,1.6,Versicolor,01/01/25
5.4,3,4.5,1.5,Versicolor,01/02/25
6,3.4,4.5,1.6,Versicolor,01/03/25
6.7,3.1,4.7,1.5,Versicolor,01/04/25
6.3,2.3,4.4,1.3,Versicolor,01/05/25
5.6,3,4.1,1.3,Versicolor,01/06/25
5.5,2.5,4,1.3,Versicolor,01/07/25
5.5,2.6,4.4,1.2,Versicolor,01/08/25
6.1,3,4.6,1.4,Versicolor,01/09/25
5.8,2.6,4,1.2,Versicolor,01/10/25
5,2.3,3.3,1,Versicolor,01/11/25
5.6,2.7,4.2,1.3,Versicolor,01/12/25
5.7,3,4.2,1.2,Versicolor,01/13/25
5.7,2.9,4.2,1.3,Versicolor,01/14/25
6.2,2.9,4.3,1.3,Versicolor,01/15/25
5.1,2.5,3,1.1,Versicolor,01/16/25
5.7,2.8,4.1,1.3,Versicolor,01/17/25
6.3,3.3,6,2.5,Virginica,01/18/25
5.8,2.7,5.1,1.9,Virginica,01/19/25
7.1,3,5.9,2.1,Virginica,01/20/25
6.3,2.9,5.6,1.8,Virginica,01/21/25
6.5,3,5.8,2.2,Virginica,01/22/25
7.6,3,6.6,2.1,Virginica,01/23/25
4.9,2.5,4.5,1.7,Virginica,01/24/25
7.3,2.9,6.3,1.8,Virginica,01/25/25
6.7,2.5,5.8,1.8,Virginica,01/26/25
7.2,3.6,6.1,2.5,Virginica,01/27/25
6.5,3.2,5.1,2,Virginica,01/28/25
6.4,2.7,5.3,1.9,Virginica,01/29/25
6.8,3,5.5,2.1,Virginica,01/30/25
5.7,2.5,5,2,Virginica,01/31/25
5.8,2.8,5.1,2.4,Virginica,02/01/25
6.4,3.2,5.3,2.3,Virginica,02/02/25
6.5,3,5.5,1.8,Virginica,02/03/25
7.7,3.8,6.7,2.2,Virginica,02/04/25
7.7,2.6,6.9,2.3,Virginica,02/05/25
6,2.2,5,1.5,Virginica,02/06/25
6.9,3.2,5.7,2.3,Virginica,02/07/25
5.6,2.8,4.9,2,Virginica,02/08/25
7.7,2.8,6.7,2,Virginica,02/09/25
6.3,2.7,4.9,1.8,Virginica,02/10/25
6.7,3.3,5.7,2.1,Virginica,02/11/25
7.2,3.2,6,1.8,Virginica,02/12/25
6.2,2.8,4.8,1.8,Virginica,02/13/25
6.1,3,4.9,1.8,Virginica,02/14/25
6.4,2.8,5.6,2.1,Virginica,02/15/25
7.2,3,5.8,1.6,Virginica,02/16/25
7.4,2.8,6.1,1.9,Virginica,02/17/25
7.9,3.8,6.4,2,Virginica,02/18/25
6.4,2.8,5.6,2.2,Virginica,02/19/25
6.3,2.8,5.1,1.5,Virginica,02/20/25
6.1,2.6,5.6,1.4,Virginica,02/21/25
7.7,3,6.1,2.3,Virginica,02/22/25
6.3,3.4,5.6,2.4,Virginica,02/23/25
6.4,3.1,5.5,1.8,Virginica,02/24/25
6,3,4.8,1.8,Virginica,02/25/25
6.9,3.1,5.4,2.1,Virginica,02/26/25
6.7,3.1,5.6,2.4,Virginica,02/27/25
6.9,3.1,5.1,2.3,Virginica,02/28/25
5.8,2.7,5.1,1.9,Virginica,03/01/25
6.8,3.2,5.9,2.3,Virginica,03/02/25
6.7,3.3,5.7,2.5,Virginica,03/03/25
6.7,3,5.2,2.3,Virginica,03/04/25
6.3,2.5,5,1.9,Virginica,03/05/25
6.5,3,5.2,2,Virginica,03/06/25
6.2,3.4,5.4,2.3,Virginica,03/07/25
5.9,3,5.1,1.8,Virginica,03/08/25
