sepal.length,sepal.width,petal.length,petal.width,variety,date
7.2,3.0,5.8,2,Virginica,2025-02-16
7.4,2.8,6.1,2,Virginica,2025-02-17
7.9,3.8,6.4,2,Virginica,2025-02-18
6.4,2.8,5.6,2,Virginica,2025-02-19
6.3,2.8,5.1,2,Virginica,2025-02-20
6.1,2.6,5.6,1,Virginica,2025-02-21
7.7,3.0,6.1,2,Virginica,2025-02-22
6.3,3.4,5.6,2,Virginica,2025-02-23
6.4,3.1,5.5,2,Virginica,2025-02-24
6.0,3.0,4.8,2,Virginica,2025-02-25
6.9,3.1,5.4,2,Virginica,2025-02-26
6.7,3.1,5.6,2,Virginica,2025-02-27
6.9,3.1,5.1,2,Virginica,2025-02-28
5.8,2.7,5.1,2,Virginica,2025-03-01
6.8,3.2,5.9,2,Virginica,2025-03-02
6.7,3.3,5.7,2,Virginica,2025-03-03
6.7,3.0,5.2,2,Virginica,2025-03-04
6.3,2.5,5.0,2,Virginica,2025-03-05
6.5,3.0,5.2,2,Virginica,2025-03-06
6.2,3.4,5.4,2,Virginica,2025-03-07
5.9,3.0,5.1,2,Virginica,2025-03-08
